id,documentId,name,category,section,page,confidenceScore,confidenceLevel,extractedValue,correctedValue,highlightedText,versionId,attributeKey
attr-001--doc-001-v1,doc-001,"Contract Start Date",Dates,"Terms and Conditions",1,95,high,"January 1, 2024","","This Agreement shall commence on January 1, 2024 (the ""Effective Date"") and shall continue for a period of twelve (12) months unless earlier terminated in accordance with the provisions herein.",doc-001-v1,attr-001
attr-002--doc-001-v1,doc-001,"Contract End Date",Dates,"Terms and Conditions",1,92,high,"December 31, 2024","","The initial term of this Agreement shall expire on December 31, 2024, subject to renewal provisions outlined in Section 5.2.",doc-001-v1,attr-002
attr-003--doc-001-v1,doc-001,"Total Contract Value",Financial,"Payment Terms",1,75,medium,"$150,000","","The total value of services under this Agreement shall not exceed One Hundred Fifty Thousand Dollars ($150,000) unless mutually agreed upon in writing by both parties.",doc-001-v1,attr-003
attr-004--doc-001-v1,doc-001,"Payment Terms",Financial,"Payment Terms",1,88,high,"Net 30","","Payment shall be due within thirty (30) days of invoice receipt. Late payments shall accrue interest at a rate of 1.5% per month.",doc-001-v1,attr-004
attr-005--doc-001-v1,doc-001,"Governing Law",Legal,"General Provisions",1,98,high,"State of Delaware","","This Agreement shall be governed by and construed in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles.",doc-001-v1,attr-005
attr-006--doc-001-v1,doc-001,"Termination Notice Period",Terms,Termination,1,40,low,"30 days","","Either party may terminate this Agreement upon providing written notice to the other party. The notice period and specific conditions are outlined in the attached Schedule A.",doc-001-v1,attr-006
attr-007--doc-001-v1,doc-001,"Liability Cap",Legal,"Limitation of Liability",1,72,medium,"$500,000","","In no event shall either party's aggregate liability exceed Five Hundred Thousand Dollars ($500,000), except in cases of gross negligence or willful misconduct.",doc-001-v1,attr-007
attr-008--doc-001-v1,doc-001,Auto-Renewal,Terms,"Terms and Conditions",1,35,low,Yes,"","This Agreement shall automatically renew for successive one (1) year periods unless either party provides notice of non-renewal according to the procedures in Section 5.",doc-001-v1,attr-008
attr-009--doc-001-v1,doc-001,"Client Name",Parties,Parties,1,99,high,"Acme Corporation","","This Service Agreement (""Agreement"") is entered into by and between Acme Corporation, a Delaware corporation (""Client""), and Contract AI Solutions, Inc. (""Provider"").",doc-001-v1,attr-009
attr-010--doc-001-v1,doc-001,"Confidentiality Period",Legal,Confidentiality,1,85,high,"3 years","","The confidentiality obligations set forth herein shall survive termination of this Agreement for a period of three (3) years.",doc-001-v1,attr-010
attr-001--doc-001-v2,doc-001,"Contract Start Date",Dates,"Terms and Conditions",1,95,high,"January 1, 2024","","This Agreement shall commence on January 1, 2024 (the ""Effective Date"") and shall continue for a period of twelve (12) months unless earlier terminated in accordance with the provisions herein.",doc-001-v2,attr-001
attr-002--doc-001-v2,doc-001,"Contract End Date",Dates,"Terms and Conditions",1,92,high,"December 31, 2024","","The initial term of this Agreement shall expire on December 31, 2024, subject to renewal provisions outlined in Section 5.2.",doc-001-v2,attr-002
attr-003--doc-001-v2,doc-001,"Total Contract Value",Financial,"Payment Terms",1,75,medium,"$150,000","","The total value of services under this Agreement shall not exceed One Hundred Fifty Thousand Dollars ($150,000) unless mutually agreed upon in writing by both parties.",doc-001-v2,attr-003
attr-004--doc-001-v2,doc-001,"Payment Terms",Financial,"Payment Terms",1,89,high,"Net 45","","Payment shall be due within forty-five (45) days of invoice receipt. Late payments shall accrue interest at a rate of 1.5% per month.",doc-001-v2,attr-004
attr-005--doc-001-v2,doc-001,"Governing Law",Legal,"General Provisions",1,98,high,"State of Delaware","","This Agreement shall be governed by and construed in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles.",doc-001-v2,attr-005
attr-006--doc-001-v2,doc-001,"Termination Notice Period",Terms,Termination,1,40,low,"30 days","","Either party may terminate this Agreement upon providing written notice to the other party. The notice period and specific conditions are outlined in the attached Schedule A.",doc-001-v2,attr-006
attr-007--doc-001-v2,doc-001,"Liability Cap",Legal,"Limitation of Liability",1,72,medium,"$500,000","","In no event shall either party's aggregate liability exceed Five Hundred Thousand Dollars ($500,000), except in cases of gross negligence or willful misconduct.",doc-001-v2,attr-007
attr-008--doc-001-v2,doc-001,Auto-Renewal,Terms,"Terms and Conditions",1,35,low,Yes,"","This Agreement shall automatically renew for successive one (1) year periods unless either party provides notice of non-renewal according to the procedures in Section 5.",doc-001-v2,attr-008
attr-009--doc-001-v2,doc-001,"Client Name",Parties,Parties,1,99,high,"Acme Corporation","","This Service Agreement (""Agreement"") is entered into by and between Acme Corporation, a Delaware corporation (""Client""), and Contract AI Solutions, Inc. (""Provider"").",doc-001-v2,attr-009
attr-010--doc-001-v2,doc-001,"Confidentiality Period",Legal,Confidentiality,1,85,high,"3 years","","The confidentiality obligations set forth herein shall survive termination of this Agreement for a period of three (3) years.",doc-001-v2,attr-010
attr-001--doc-001-v3,doc-001,"Contract Start Date",Dates,"Terms and Conditions",1,95,high,"January 1, 2024","","This Agreement shall commence on January 1, 2024 (the ""Effective Date"") and shall continue for a period of twelve (12) months unless earlier terminated in accordance with the provisions herein.",doc-001-v3,attr-001
attr-002--doc-001-v3,doc-001,"Contract End Date",Dates,"Terms and Conditions",1,92,high,"December 31, 2024","","The initial term of this Agreement shall expire on December 31, 2024, subject to renewal provisions outlined in Section 5.2.",doc-001-v3,attr-002
attr-003--doc-001-v3,doc-001,"Total Contract Value",Financial,"Payment Terms",1,76,medium,"$160,000","","The total value of services under this Agreement shall not exceed One Hundred Sixty Thousand Dollars ($160,000) unless mutually agreed upon in writing by both parties.",doc-001-v3,attr-003
attr-004--doc-001-v3,doc-001,"Payment Terms",Financial,"Payment Terms",1,88,high,"Net 45","","Payment shall be due within forty-five (45) days of invoice receipt. Late payments shall accrue interest at a rate of 1.5% per month.",doc-001-v3,attr-004
attr-005--doc-001-v3,doc-001,"Governing Law",Legal,"General Provisions",1,98,high,"State of Delaware","","This Agreement shall be governed by and construed in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles.",doc-001-v3,attr-005
attr-006--doc-001-v3,doc-001,"Termination Notice Period",Terms,Termination,1,40,low,"30 days","","Either party may terminate this Agreement upon providing written notice to the other party. The notice period and specific conditions are outlined in the attached Schedule A.",doc-001-v3,attr-006
attr-007--doc-001-v3,doc-001,"Liability Cap",Legal,"Limitation of Liability",1,72,medium,"$500,000","","In no event shall either party's aggregate liability exceed Five Hundred Thousand Dollars ($500,000), except in cases of gross negligence or willful misconduct.",doc-001-v3,attr-007
attr-008--doc-001-v3,doc-001,Auto-Renewal,Terms,"Terms and Conditions",1,35,low,Yes,"","This Agreement shall automatically renew for successive one (1) year periods unless either party provides notice of non-renewal according to the procedures in Section 5.",doc-001-v3,attr-008
attr-009--doc-001-v3,doc-001,"Client Name",Parties,Parties,1,99,high,"Acme Corporation","","This Service Agreement (""Agreement"") is entered into by and between Acme Corporation, a Delaware corporation (""Client""), and Contract AI Solutions, Inc. (""Provider"").",doc-001-v3,attr-009
attr-010--doc-001-v3,doc-001,"Confidentiality Period",Legal,Confidentiality,1,85,high,"3 years","","The confidentiality obligations set forth herein shall survive termination of this Agreement for a period of three (3) years.",doc-001-v3,attr-010
attr-011--doc-002-v1,doc-002,"Effective Date",Dates,Preamble,1,97,high,"January 10, 2024","","This Non-Disclosure Agreement is effective as of January 10, 2024 (the ""Effective Date"").",doc-002-v1,attr-011
attr-012--doc-002-v1,doc-002,"Disclosing Party",Parties,Parties,1,99,high,"TechStart Inc.","","TechStart Inc. (""Disclosing Party"") and Contract AI Solutions (""Receiving Party"") agree to the following terms.",doc-002-v1,attr-012
attr-013--doc-002-v1,doc-002,"Confidentiality Duration",Terms,Obligations,1,94,high,"5 years","","The Receiving Party shall maintain confidentiality of all disclosed information for a period of five (5) years from the date of disclosure.",doc-002-v1,attr-013
attr-014--doc-002-v1,doc-002,"Governing Law",Legal,General,1,96,high,"State of California","","This Agreement shall be governed by and construed under the laws of the State of California.",doc-002-v1,attr-014
attr-015--doc-002-v1,doc-002,"Return of Materials",Terms,Obligations,1,88,high,"Within 10 business days","","Upon request, the Receiving Party shall return or destroy all confidential materials within ten (10) business days.",doc-002-v1,attr-015
attr-016--doc-002-v1,doc-002,"Permitted Disclosures",Terms,Exceptions,1,78,medium,"Legal requirements only","","Disclosure is permitted only when required by law, provided the Receiving Party gives prior notice.",doc-002-v1,attr-016
attr-017--doc-002-v1,doc-002,"Non-Compete Clause",Legal,Restrictions,1,65,medium,None,"","This Agreement does not impose any non-compete obligations on either party.",doc-002-v1,attr-017
attr-018--doc-002-v1,doc-002,"Amendment Process",Legal,General,1,92,high,"Written consent required","","Any amendment to this Agreement must be in writing and signed by both parties.",doc-002-v1,attr-018
attr-011--doc-002-v2,doc-002,"Effective Date",Dates,Preamble,1,97,high,"January 10, 2024","","This Non-Disclosure Agreement is effective as of January 10, 2024 (the ""Effective Date"").",doc-002-v2,attr-011
attr-012--doc-002-v2,doc-002,"Disclosing Party",Parties,Parties,1,99,high,"TechStart Incorporated","","TechStart Incorporated (""Disclosing Party"") and Contract AI Solutions (""Receiving Party"") agree to the following terms.",doc-002-v2,attr-012
attr-013--doc-002-v2,doc-002,"Confidentiality Duration",Terms,Obligations,1,94,high,"5 years","","The Receiving Party shall maintain confidentiality of all disclosed information for a period of five (5) years from the date of disclosure.",doc-002-v2,attr-013
attr-014--doc-002-v2,doc-002,"Governing Law",Legal,General,1,96,high,"State of California","","This Agreement shall be governed by and construed under the laws of the State of California.",doc-002-v2,attr-014
attr-015--doc-002-v2,doc-002,"Return of Materials",Terms,Obligations,1,88,high,"Within 10 business days","","Upon request, the Receiving Party shall return or destroy all confidential materials within ten (10) business days.",doc-002-v2,attr-015
attr-016--doc-002-v2,doc-002,"Permitted Disclosures",Terms,Exceptions,1,78,medium,"Legal requirements and court orders","","Disclosure is permitted only when required by law or court order, provided the Receiving Party gives prior notice.",doc-002-v2,attr-016
attr-017--doc-002-v2,doc-002,"Non-Compete Clause",Legal,Restrictions,1,65,medium,None,"","This Agreement does not impose any non-compete obligations on either party.",doc-002-v2,attr-017
attr-018--doc-002-v2,doc-002,"Amendment Process",Legal,General,1,92,high,"Written consent required","","Any amendment to this Agreement must be in writing and signed by both parties.",doc-002-v2,attr-018
attr-011--doc-002-v3,doc-002,"Effective Date",Dates,Preamble,1,98,high,"January 12, 2024","","This Non-Disclosure Agreement is effective as of January 12, 2024 (the ""Effective Date"").",doc-002-v3,attr-011
